priority_rank,account_id,customer_name,contract_value,current_stage,risk_reason,founder_action,owner,due_timing,expected_leverage,escalation_note
1,ACC-013,Meridian Robotics,95000.0,Technical integration,High-value account; Critical activation risk; At risk customer health; Integration blocked by security review,Founder sponsor call to reset trust and activation plan.,Isha Das,Today,"Protects $95,000 and improves activation confidence.",Do not wait for the next weekly review.
2,ACC-020,TerraWorks Energy,83000.0,Kickoff complete,High-value account; Critical activation risk; At risk customer health; Partial owner gap,Assign owner coverage and review handoff quality.,Pranav Nair,Today,"Protects $83,000 and improves activation confidence.",Do not wait for the next weekly review.
3,ACC-018,Riverline Logistics,67000.0,Technical integration,High-value account; Critical activation risk; At risk customer health; Payment failed and integration access withheld,Escalate technical unblock plan and confirm customer-side owner.,Maya Rao,Today,"Protects $67,000 and improves activation confidence.",Do not wait for the next weekly review.
4,ACC-016,Prairie Foods Network,58000.0,Activation review,High-value account; Critical activation risk; At risk customer health; Customer questions ROI after delayed rollout,Founder sponsor call to reset trust and activation plan.,Anika Menon,Today,"Protects $58,000 and improves activation confidence.",Do not wait for the next weekly review.
5,ACC-022,Vertex Mining Analytics,76000.0,Technical integration,High-value account; Critical activation risk; At risk customer health; Product gap blocking activation,Review activation path and remove the highest leverage blocker.,Isha Das,Today,"Protects $76,000 and improves activation confidence.",Do not wait for the next weekly review.
6,ACC-004,DeltaOps Systems,72000.0,Technical integration,High-value account; Critical activation risk; Integration stuck on customer API access; Risk,Escalate technical unblock plan and confirm customer-side owner.,Anika Menon,Today,"Protects $72,000 and improves activation confidence.",Do not wait for the next weekly review.
7,ACC-007,Grove Robotics,64000.0,Activation review,High-value account; Critical activation risk; Stakeholder changed during activation; Risk,Review activation path and remove the highest leverage blocker.,Riya Sen,Today,"Protects $64,000 and improves activation confidence.",Do not wait for the next weekly review.
8,ACC-010,Juniper BioTools,52000.0,Activation review,High-value account; Critical activation risk; At risk customer health; Unpaid invoice blocking rollout,Align finance and customer sponsor on payment path.,Maya Rao,Today,"Protects $52,000 and improves activation confidence.",Do not wait for the next weekly review.
9,ACC-014,Northstar Legal Ops,9000.0,Data migration,Critical activation risk; At risk customer health; Data migration stuck with messy source files; Risk,Escalate technical unblock plan and confirm customer-side owner.,Maya Rao,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Needs named owner and customer-facing plan.
10,ACC-017,Quartz Education Group,26000.0,Kickoff scheduled,High activation risk; At risk customer health; Partial owner gap; Delayed handoff and stale touchpoint,Assign owner coverage and review handoff quality.,Isha Das,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Owner gap should be resolved before customer follow-up.
11,ACC-011,Kinetic Support Labs,19000.0,Technical integration,Critical activation risk; At risk customer health; Support tickets rising after integration; Risk,Escalate technical unblock plan and confirm customer-side owner.,Riya Sen,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Needs named owner and customer-facing plan.
12,ACC-003,Cloudforge Labs,15000.0,Closed won,High activation risk; At risk customer health; No owner assigned; No owner assigned,Assign owner coverage and review handoff quality.,Founder,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Owner gap should be resolved before customer follow-up.
13,ACC-021,UniScale Marketplaces,31000.0,Data migration,Critical activation risk; At risk customer health; Data mapping unresolved,Escalate technical unblock plan and confirm customer-side owner.,Anika Menon,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Needs named owner and customer-facing plan.
14,ACC-006,Finley Finance Studio,22000.0,Kickoff complete,Critical activation risk; Customer ghosting after kickoff; Budget concern,Founder sends executive-level re-engagement note.,Maya Rao,Next 3 business days,Prevents onboarding delay from becoming churn risk.,Needs named owner and customer-facing plan.
