account_id,customer_name,risk_type,severity,current_stage,owner,days_in_onboarding,target_activation_date,next_step,recommended_fix
ACC-002,Beacon Hiring Co,Delayed onboarding start,High,Kickoff scheduled,Riya Sen,3.0,2026-05-28,Hold kickoff and confirm activation owner,Assign onboarding owner and schedule kickoff inside the handoff SLA.
ACC-002,Beacon Hiring Co,Unresolved blocker,Medium,Kickoff scheduled,Riya Sen,3.0,2026-05-28,Hold kickoff and confirm activation owner,Convert blocker into a dated unblock plan with one accountable owner.
ACC-002,Beacon Hiring Co,Training incomplete,Medium,Kickoff scheduled,Riya Sen,3.0,2026-05-28,Hold kickoff and confirm activation owner,Schedule training and confirm attendance from the customer owner.
ACC-003,Cloudforge Labs,Delayed onboarding start,High,Closed won,Unassigned,,2026-05-25,TBD,Assign onboarding owner and schedule kickoff inside the handoff SLA.
ACC-003,Cloudforge Labs,Stale customer touchpoint,High,Closed won,Unassigned,,2026-05-25,TBD,Create a customer touchpoint today and document the next action.
ACC-003,Cloudforge Labs,Missing owner,High,Closed won,Unassigned,,2026-05-25,TBD,"Assign onboarding, customer success, and implementation owners."
ACC-003,Cloudforge Labs,Unclear next step,Medium,Closed won,Unassigned,,2026-05-25,TBD,Replace vague next step with a dated owner-backed action.
ACC-003,Cloudforge Labs,Unresolved blocker,Medium,Closed won,Unassigned,,2026-05-25,TBD,Convert blocker into a dated unblock plan with one accountable owner.
ACC-003,Cloudforge Labs,Training incomplete,Medium,Closed won,Unassigned,,2026-05-25,TBD,Schedule training and confirm attendance from the customer owner.
ACC-004,DeltaOps Systems,Unresolved blocker,High,Technical integration,Anika Menon,17.0,2026-05-20,Schedule customer technical unblock session,Convert blocker into a dated unblock plan with one accountable owner.
ACC-004,DeltaOps Systems,Integration stuck,High,Technical integration,Anika Menon,17.0,2026-05-20,Schedule customer technical unblock session,Create technical unblock plan with implementation and product owner.
ACC-005,Evergreen Clinic Group,Unresolved blocker,High,Data migration,Isha Das,19.0,2026-05-18,Collect source file export and confirm migration window,Convert blocker into a dated unblock plan with one accountable owner.
ACC-005,Evergreen Clinic Group,Data migration stuck,High,Data migration,Isha Das,19.0,2026-05-18,Collect source file export and confirm migration window,"Create migration checklist, source data owner, and target completion date."
ACC-006,Finley Finance Studio,Stale customer touchpoint,High,Kickoff complete,Maya Rao,22.0,2026-05-15,Re-engage sponsor and reschedule working session,Create a customer touchpoint today and document the next action.
ACC-006,Finley Finance Studio,Unresolved blocker,Critical,Kickoff complete,Maya Rao,22.0,2026-05-15,Re-engage sponsor and reschedule working session,Convert blocker into a dated unblock plan with one accountable owner.
ACC-006,Finley Finance Studio,Low usage after onboarding,High,Kickoff complete,Maya Rao,22.0,2026-05-15,Re-engage sponsor and reschedule working session,Run usage recovery plan tied to activation criteria.
ACC-006,Finley Finance Studio,Training incomplete,Medium,Kickoff complete,Maya Rao,22.0,2026-05-15,Re-engage sponsor and reschedule working session,Schedule training and confirm attendance from the customer owner.
ACC-007,Grove Robotics,Unresolved blocker,High,Activation review,Riya Sen,24.0,2026-05-12,Confirm new stakeholder and rerun activation review,Convert blocker into a dated unblock plan with one accountable owner.
ACC-008,Horizon Analytics,Unresolved blocker,Medium,Training,Anika Menon,27.0,2026-05-10,Clarify activation criteria with founder,Convert blocker into a dated unblock plan with one accountable owner.
ACC-009,Ivory Desk Software,Unresolved blocker,Medium,Training,Isha Das,29.0,2026-05-08,Schedule second training session,Convert blocker into a dated unblock plan with one accountable owner.
ACC-009,Ivory Desk Software,Training incomplete,Medium,Training,Isha Das,29.0,2026-05-08,Schedule second training session,Schedule training and confirm attendance from the customer owner.
ACC-010,Juniper BioTools,Missed activation deadline,Critical,Activation review,Maya Rao,32.0,2026-05-05,Resolve invoice and confirm activation date,"Reset activation plan with owner, customer milestone, and date."
ACC-010,Juniper BioTools,Unresolved blocker,High,Activation review,Maya Rao,32.0,2026-05-05,Resolve invoice and confirm activation date,Convert blocker into a dated unblock plan with one accountable owner.
ACC-010,Juniper BioTools,Unpaid payment status,High,Activation review,Maya Rao,32.0,2026-05-05,Resolve invoice and confirm activation date,"Resolve billing owner, invoice status, and commercial next step."
ACC-011,Kinetic Support Labs,Missed activation deadline,Critical,Technical integration,Riya Sen,34.0,2026-05-02,Escalate ticket defects and set implementation fix plan,"Reset activation plan with owner, customer milestone, and date."
ACC-011,Kinetic Support Labs,Stale customer touchpoint,High,Technical integration,Riya Sen,34.0,2026-05-02,Escalate ticket defects and set implementation fix plan,Create a customer touchpoint today and document the next action.
ACC-011,Kinetic Support Labs,Unresolved blocker,High,Technical integration,Riya Sen,34.0,2026-05-02,Escalate ticket defects and set implementation fix plan,Convert blocker into a dated unblock plan with one accountable owner.
ACC-011,Kinetic Support Labs,Low usage after onboarding,High,Technical integration,Riya Sen,34.0,2026-05-02,Escalate ticket defects and set implementation fix plan,Run usage recovery plan tied to activation criteria.
ACC-011,Kinetic Support Labs,Integration stuck,High,Technical integration,Riya Sen,34.0,2026-05-02,Escalate ticket defects and set implementation fix plan,Create technical unblock plan with implementation and product owner.
ACC-012,Luma Retail Cloud,Unresolved blocker,Medium,Activated,Anika Menon,38.0,2026-04-29,Run usage recovery session,Convert blocker into a dated unblock plan with one accountable owner.
ACC-012,Luma Retail Cloud,Low usage after onboarding,High,Activated,Anika Menon,38.0,2026-04-29,Run usage recovery session,Run usage recovery plan tied to activation criteria.
ACC-013,Meridian Robotics,Missed activation deadline,Critical,Technical integration,Isha Das,41.0,2026-04-26,Founder call with CEO and technical unblock plan,"Reset activation plan with owner, customer milestone, and date."
ACC-013,Meridian Robotics,Unresolved blocker,High,Technical integration,Isha Das,41.0,2026-04-26,Founder call with CEO and technical unblock plan,Convert blocker into a dated unblock plan with one accountable owner.
