account_id,customer_name,contract_value,customer_health_score,health_category,onboarding_risk_score,activation_risk_level,founder_attention_score,founder_attention_category,score_driver_summary,score_interpretation,recommended_next_action
ACC-020,TerraWorks Energy,83000.0,41,At risk,62,Critical,88,Founder intervention now,Critical activation risk; At risk customer health; No activity after kickoff; Partial owner gap; Training incomplete,Health 41 means At risk. Risk 62 maps to Critical activation risk. Founder attention 88 maps to Founder intervention now.,Assign accountable owners before the next customer step.
ACC-018,Riverline Logistics,67000.0,42,At risk,62,Critical,88,Founder intervention now,Critical activation risk; At risk customer health; Payment failed and integration access withheld; Usage signal: Low; Payment status: Payment failed,Health 42 means At risk. Risk 62 maps to Critical activation risk. Founder attention 88 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-013,Meridian Robotics,95000.0,44,At risk,60,Critical,88,Founder intervention now,Critical activation risk; At risk customer health; Integration blocked by security review; Usage signal: Low; Training partially complete,Health 44 means At risk. Risk 60 maps to Critical activation risk. Founder attention 88 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-016,Prairie Foods Network,58000.0,50,At risk,55,Critical,88,Founder intervention now,Critical activation risk; At risk customer health; Customer questions ROI after delayed rollout; Usage signal: Declining; Training partially complete,Health 50 means At risk. Risk 55 maps to Critical activation risk. Founder attention 88 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-010,Juniper BioTools,52000.0,58,At risk,44,Critical,86,Founder intervention now,Critical activation risk; At risk customer health; Unpaid invoice blocking rollout; Payment status: Overdue; Renewal risk: Executive concern,Health 58 means At risk. Risk 44 maps to Critical activation risk. Founder attention 86 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-022,Vertex Mining Analytics,76000.0,58,At risk,43,Critical,86,Founder intervention now,Critical activation risk; At risk customer health; Product gap blocking activation; Usage signal: Low; Training partially complete,Health 58 means At risk. Risk 43 maps to Critical activation risk. Founder attention 86 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-004,DeltaOps Systems,72000.0,61,Watch,40,Critical,86,Founder intervention now,Critical activation risk; Integration stuck on customer API access; Usage signal: Low; Training partially complete; Renewal risk: Risk,Health 61 means Watch. Risk 40 maps to Critical activation risk. Founder attention 86 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-007,Grove Robotics,64000.0,70,Watch,32,Critical,86,Founder intervention now,Critical activation risk; Stakeholder changed during activation; Renewal risk: Risk,Health 70 means Watch. Risk 32 maps to Critical activation risk. Founder attention 86 maps to Founder intervention now.,Founder should contact the executive sponsor and reset the activation path.
ACC-014,Northstar Legal Ops,9000.0,48,At risk,54,Critical,54,Owner follow-up,Critical activation risk; At risk customer health; Data migration stuck with messy source files; Training incomplete; Renewal risk: Risk,Health 48 means At risk. Risk 54 maps to Critical activation risk. Founder attention 54 maps to Owner follow-up.,Create a migration checklist with source data owner and target date.
ACC-011,Kinetic Support Labs,19000.0,52,At risk,51,Critical,52,Owner follow-up,Critical activation risk; At risk customer health; Support tickets rising after integration; Usage signal: Low; Training partially complete,Health 52 means At risk. Risk 51 maps to Critical activation risk. Founder attention 52 maps to Owner follow-up.,Run a technical unblock session with implementation and product owner.
ACC-017,Quartz Education Group,26000.0,55,At risk,45,High,52,Owner follow-up,High activation risk; At risk customer health; Delayed handoff and stale touchpoint; Partial owner gap; Training incomplete,Health 55 means At risk. Risk 45 maps to High activation risk. Founder attention 52 maps to Owner follow-up.,Assign accountable owners before the next customer step.
ACC-003,Cloudforge Labs,15000.0,53,At risk,44,High,45,Owner follow-up,High activation risk; At risk customer health; No owner assigned; No owner assigned; Training incomplete,Health 53 means At risk. Risk 44 maps to High activation risk. Founder attention 45 maps to Owner follow-up.,Assign accountable owners before the next customer step.
ACC-021,UniScale Marketplaces,31000.0,59,At risk,41,Critical,43,Owner follow-up,Critical activation risk; At risk customer health; Data mapping unresolved; Training partially complete,Health 59 means At risk. Risk 41 maps to Critical activation risk. Founder attention 43 maps to Owner follow-up.,Create a migration checklist with source data owner and target date.
ACC-006,Finley Finance Studio,22000.0,61,Watch,39,Critical,43,Owner follow-up,Critical activation risk; Customer ghosting after kickoff; Usage signal: Low; Training incomplete; Renewal risk: Budget concern,Health 61 means Watch. Risk 39 maps to Critical activation risk. Founder attention 43 maps to Owner follow-up.,Schedule a customer touchpoint and document the next owner-backed action.
ACC-012,Luma Retail Cloud,34000.0,74,Watch,33,Low,39,Monitor,Low usage after onboarding; Usage signal: Low,Health 74 means Watch. Risk 33 maps to Low activation risk. Founder attention 39 maps to Monitor.,Run usage recovery against the activation criteria.
ACC-008,Horizon Analytics,12000.0,79,Watch,20,Medium,26,Monitor,Unclear activation criteria; Training partially complete,Health 79 means Watch. Risk 20 maps to Medium activation risk. Founder attention 26 maps to Monitor.,Clarify activation criteria with customer sponsor and owner.
ACC-005,Evergreen Clinic Group,46000.0,72,Watch,24,Critical,25,Monitor,Critical activation risk; Data migration pending from customer admin; Training partially complete,Health 72 means Watch. Risk 24 maps to Critical activation risk. Founder attention 25 maps to Monitor.,Create a migration checklist with source data owner and target date.
ACC-009,Ivory Desk Software,28000.0,77,Watch,22,Medium,22,Monitor,Training incomplete; Training incomplete,Health 77 means Watch. Risk 22 maps to Medium activation risk. Founder attention 22 maps to Monitor.,Schedule training and confirm customer attendance.
