account_id,customer_name,segment,industry,contract_value,plan_type,close_date,onboarding_start_date,target_activation_date,current_stage,onboarding_owner,sales_owner,customer_success_owner,implementation_owner,key_stakeholder_role,product_use_case,activation_criteria,activation_status,days_since_close,last_customer_touchpoint_date,next_step,blocker,customer_sentiment,support_tickets_open,usage_signal,integration_required,data_migration_required,training_completed,payment_status,renewal_risk_signal,notes
ACC-001,Acme Ledger AI,Startup,Fintech,24000,Growth,2026-04-29,2026-04-30,2026-05-28,Activated,Maya Rao,Arjun Mehta,Neha Kapoor,Dev Iyer,Head of Finance,Automated reconciliation,"Three finance workflows live and weekly usage above 20 runs",Activated,9,2026-05-07,Confirm first value report,None,Positive,1,Healthy,No,No,Yes,Paid,Expansion potential,Synthetic demo account with strong onboarding
ACC-002,Beacon Hiring Co,SMB,HR Tech,18000,Starter,2026-04-28,2026-05-05,2026-05-28,Kickoff scheduled,Riya Sen,Kabir Shah,Aman Gill,Nisha Verma,VP People,Candidate onboarding,"Hiring team imports active roles and completes first onboarding checklist",In progress,10,2026-05-05,Hold kickoff and confirm activation owner,Delayed handoff,Neutral,0,Moderate,No,No,No,Invoiced current,None,Synthetic delayed handoff example
ACC-003,Cloudforge Labs,Startup,Developer Tools,15000,Starter,2026-04-25,,2026-05-25,Closed won,,Sara Khan,,,CTO,Developer workflow automation,"Engineering team connects repo and runs first workflow",Not started,13,2026-04-25,TBD,No owner assigned,Concerned,0,None,Yes,No,No,Invoice pending,Watch,Synthetic no owner example
ACC-004,DeltaOps Systems,Mid-market,Logistics,72000,Enterprise,2026-04-20,2026-04-21,2026-05-20,Technical integration,Anika Menon,Vikram Sood,Farah Ali,Pranav Nair,COO,Dispatch optimization,"Integration live and dispatch team uses routing workflow daily",Blocked,18,2026-05-02,Schedule customer technical unblock session,Integration stuck on customer API access,Concerned,4,Low,Yes,No,Partial,Paid,Risk,Synthetic high-value integration blocker
ACC-005,Evergreen Clinic Group,Mid-market,Healthcare,46000,Professional,2026-04-18,2026-04-19,2026-05-18,Data migration,Isha Das,Arjun Mehta,Neha Kapoor,Dev Iyer,Operations Director,Patient intake automation,"Historical intake data migrated and three clinics trained",At risk,20,2026-05-01,Collect source file export and confirm migration window,Data migration pending from customer admin,Neutral,2,Moderate,No,Yes,Partial,Paid,None,Synthetic data migration risk
ACC-006,Finley Finance Studio,SMB,Financial Services,22000,Growth,2026-04-15,2026-04-16,2026-05-15,Kickoff complete,Maya Rao,Kabir Shah,Aman Gill,Nisha Verma,Managing Partner,Client reporting automation,"Two partner reports generated and reviewed by sponsor",At risk,23,2026-04-24,Re-engage sponsor and reschedule working session,Customer ghosting after kickoff,Ghosting,1,Low,No,Yes,No,Paid,Budget concern,Synthetic customer ghosting scenario
ACC-007,Grove Robotics,Enterprise pilot,Manufacturing,64000,Enterprise,2026-04-12,2026-04-14,2026-05-12,Activation review,Riya Sen,Sara Khan,Farah Ali,Pranav Nair,VP Operations,Factory exception monitoring,"Plant team reviews daily exception dashboard for one week",At risk,26,2026-05-04,Confirm new stakeholder and rerun activation review,Stakeholder changed during activation,Stakeholder changed,3,Moderate,Yes,No,Yes,Paid,Risk,Synthetic stakeholder change scenario
ACC-008,Horizon Analytics,Startup,Analytics,12000,Starter,2026-04-10,2026-04-11,2026-05-10,Training,Anika Menon,Vikram Sood,Neha Kapoor,Dev Iyer,Founder,Revenue dashboard,"",In progress,28,2026-05-03,Clarify activation criteria with founder,Unclear activation criteria,Neutral,0,Moderate,No,No,Partial,Paid,None,Synthetic unclear activation criteria
ACC-009,Ivory Desk Software,SMB,SaaS,28000,Growth,2026-04-08,2026-04-09,2026-05-08,Training,Isha Das,Arjun Mehta,Aman Gill,Nisha Verma,Head of Support,Support workflow triage,"Support team completes training and handles 25 tickets in tool",In progress,30,2026-05-06,Schedule second training session,Training incomplete,Positive,2,Moderate,No,Yes,No,Paid,None,Synthetic training incomplete case
ACC-010,Juniper BioTools,Mid-market,Biotech,52000,Professional,2026-04-05,2026-04-06,2026-05-05,Activation review,Maya Rao,Kabir Shah,Farah Ali,Pranav Nair,VP Research,Lab operations planning,"Research team completes two active lab planning cycles",Blocked,33,2026-05-03,Resolve invoice and confirm activation date,Unpaid invoice blocking rollout,Concerned,1,Moderate,Yes,No,Yes,Overdue,Executive concern,Synthetic unpaid invoice blocker
ACC-011,Kinetic Support Labs,Startup,Customer Support,19000,Starter,2026-04-02,2026-04-04,2026-05-02,Technical integration,Riya Sen,Sara Khan,Neha Kapoor,Dev Iyer,Support Lead,Ticket routing automation,"Five live ticket routing rules are active for support team",At risk,36,2026-04-29,Escalate ticket defects and set implementation fix plan,Support tickets rising after integration,Concerned,7,Low,Yes,No,Partial,Paid,Risk,Synthetic support ticket risk
